Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
NPSA,National Park of American Samoa,National Park,AS,"113,694",Total
MAPR,Manhattan Project National Historical Park,National Historical Park,NM,"104,715",Total
EUON,Eugene O'Neill National Historic Site,National Historic Site,CA,"103,878",Total
WACO,Waco Mammoth National Monument,National Monument,TX,"90,061",Total
BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,MS,"88,266",Total
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,AR,"60,563",Total
TUPE,Tupelo National Battlefield,National Battlefield,MS,"57,031",Total
SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,VI,"51,085",Total
SACR,Saint Croix Island International Historic Site,International Historic Site,ME,"48,711",Total
BELA,Bering Land Bridge National Preserve,National Preserve,AK,"45,498",Total
